,date,away,home,time,stadium,address,city,street
0,"Friday, March 22, 2024",Minnesota Twins,Tampa Bay Rays,1:05 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
1,"Friday, March 22, 2024",Detroit Tigers,Philadelphia Phillies,1:05 pm,One Citizens Bank Way,"One Citizens Bank Way, Philadelphia, PA 19148","Philadelphia, PA",One Citizens Bank Way
2,"Friday, March 22, 2024",New York Mets,New York Yankees,1:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
3,"Friday, March 22, 2024",Atlanta Braves,Minnesota Twins,1:05 pm,1 Twins Way,"1 Twins Way, Minneapolis, MN 55403","Minneapolis, MN",1 Twins Way
4,"Friday, March 22, 2024",Boston Red Sox,Toronto Blue Jays,1:07 pm,"1 Blue Jays Way, Suite 3200","1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1","Toronto, Ontario, Canada","1 Blue Jays Way, Suite 3200"
5,"Friday, March 22, 2024",Texas Rangers,Cleveland Guardians,4:05 pm,2401 Ontario Street,"2401 Ontario Street, Cleveland, OH 44115","Cleveland, OH",2401 Ontario Street
6,"Friday, March 22, 2024",San Francisco Giants,Chicago Cubs,4:05 pm,1060 West Addison,"1060 West Addison, Chicago, IL 60613-4397","Chicago, IL",1060 West Addison
7,"Friday, March 22, 2024",Oakland Athletics,Chicago White Sox,4:05 pm,333 West 35th Street,"333 West 35th Street, Chicago, IL 60616","Chicago, IL",333 West 35th Street
8,"Friday, March 22, 2024",Cincinnati Reds,Oakland Athletics,4:05 pm,7000 Coliseum Way,"7000 Coliseum Way, Oakland, CA 94621","Oakland, CA",7000 Coliseum Way
9,"Friday, March 22, 2024",Chicago Cubs,San Francisco Giants,4:05 pm,24 Willie Mays Plaza,"24 Willie Mays Plaza, San Francisco, CA 94107","San Francisco, CA",24 Willie Mays Plaza
10,"Friday, March 22, 2024",Colorado Rockies,Texas Rangers,4:05 pm,734 Stadium Drive,"734 Stadium Drive, Arlington, TX 76011","Arlington, TX",734 Stadium Drive
11,"Friday, March 22, 2024",Kansas City Royals,Milwaukee Brewers,4:10 pm,One Brewers Way,"One Brewers Way, Milwaukee, WI 53214","Milwaukee, WI",One Brewers Way
12,"Friday, March 22, 2024",Milwaukee Brewers,Seattle Mariners,4:10 pm,P.O. Box 4100,"P.O. Box 4100, Seattle, WA 98104","Seattle, WA",P.O. Box 4100
13,"Friday, March 22, 2024",Seattle Mariners,Arizona D'Backs,4:10 pm,,,,
14,"Friday, March 22, 2024",Chicago White Sox,Los Angeles Angels,4:10 pm,2000 Gene Autry Way,"2000 Gene Autry Way, Anaheim, CA 92806","Anaheim, CA",2000 Gene Autry Way
15,"Friday, March 22, 2024",Washington Nationals,Houston Astros,6:05 pm,501 Crawford Street,"501 Crawford Street, Houston, TX 77002","Houston, TX",501 Crawford Street
16,"Friday, March 22, 2024",Pittsburgh Pirates,Baltimore Orioles,6:05 pm,333 West Camden Street,"333 West Camden Street, Baltimore, MD 21201","Baltimore, MD",333 West Camden Street
17,"Friday, March 22, 2024",St. Louis Cardinals,Miami Marlins,6:40 pm,501 Marlins Way,"501 Marlins Way, Miami, FL 33125","Miami, FL",501 Marlins Way
18,"Saturday, March 23, 2024",Tampa Bay Rays,Atlanta Braves,1:05 pm,755 Battery Avenue,"755 Battery Avenue, Atlanta, GA 30339","Atlanta, GA",755 Battery Avenue
19,"Saturday, March 23, 2024",Baltimore Orioles,Tampa Bay Rays,1:05 pm,One Tropicana Drive,"One Tropicana Drive, St. Petersburg, FL 33705","St. Petersburg, FL",One Tropicana Drive
20,"Saturday, March 23, 2024",Washington Nationals,St. Louis Cardinals,1:05 pm,700 Clark Street,"700 Clark Street, St. Louis, MO 63102","St. Louis, MO",700 Clark Street
21,"Saturday, March 23, 2024",Boston Red Sox,Pittsburgh Pirates,1:05 pm,115 Federal Street,"115 Federal Street, Pittsburgh, PA 15212","Pittsburgh, PA",115 Federal Street
22,"Saturday, March 23, 2024",Philadelphia Phillies,New York Yankees,1:05 pm,One East 161st Street,"One East 161st Street, Bronx, NY 10451","Bronx, NY",One East 161st Street
23,"Saturday, March 23, 2024",New York Yankees,Detroit Tigers,1:05 pm,2100 Woodward Avenue,"2100 Woodward Avenue, Detroit, MI 48201","Detroit, MI",2100 Woodward Avenue
